Player,Jersey,Team,Division,Tier,GP,G,A,PTS,PIM,PPG
Nick King,14,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,0,1,1,3,0.25
Jeff Wong,91,Bay Area Bashers,California 2,Tier 2,7,0,1,1,0,0.14
Chris Torres,18,Bay Area Bashers,California 2,Tier 2,7,0,1,1,0,0.14
Dan Hilbich,32,Bay Area Burger Boys,California 3,Tier 3,4,0,1,1,0,0.25
Tristan Hofstrom,8,Bellmawr Hawks,New Jersey,Tier 1,5,0,1,1,3,0.2
Joe Trapani,4,Bellmawr Hawks,New Jersey,Tier 1,5,0,1,1,0,0.2
Jimmy Privito,17,Bellmawr Hawks,New Jersey,Tier 1,5,0,1,1,0,0.2
Jordan Romano,91,Bellmawr Hawks,New Jersey,Tier 1,5,0,1,1,0,0.2
Coby Sweat,2,Buffalo 716ers,Buffalo,Tier 1,5,0,1,1,0,0.2
Dakota Reukauf,29,Buffalo 716ers,Buffalo,Tier 1,5,0,1,1,0,0.2
Josh Jaszcz,13,Buffalo 716ers,Buffalo,Tier 1,5,0,1,1,0,0.2
Chris Carr,26,Buffalo Wear-It,Buffalo 2,Tier 2,4,0,1,1,0,0.25
Nino Dasaro,14,Buffalo Wear-It,Buffalo 2,Tier 2,4,0,1,1,0,0.25
Noah Green,5,Buffalo Wear-It,Buffalo 2,Tier 2,4,0,1,1,1.5,0.25
Jake Schiffman,13,Buffalo Wear-It,Buffalo 2,Tier 2,4,0,1,1,0,0.25
Jude Barren,91,Buffalo Wear-It,Buffalo 2,Tier 2,4,0,1,1,0,0.25
Cody Blum,97,Butler Bantams,Pittsburgh 2,Tier 2,5,0,1,1,0,0.2
Matt Street,22,Columbus Counts,Indiana 3,Tier 3,5,0,1,1,3,0.2
Dave Moyer,15,Columbus Counts,Indiana 3,Tier 3,5,0,1,1,1.5,0.2
Joe Fisher,7,Delco Devils,Philadelphia 3,Tier 3,4,0,1,1,0,0.25
Rick Christy,17,Delco Devils,Philadelphia 3,Tier 3,4,0,1,1,1.5,0.25
Ryan Gill,97,Delco Devils,Philadelphia 3,Tier 3,4,0,1,1,3,0.25
Al Giotti,61,Delco Devils,Philadelphia 3,Tier 3,4,0,1,1,0,0.25
Joe Giotti,91,Delco Devils,Philadelphia 3,Tier 3,4,0,1,1,1.5,0.25
Isaac Murray,18,Grim City Reapers,Buffalo 2,Tier 2,4,0,1,1,0,0.25
Sam Loster,96,Grim City Reapers,Buffalo 2,Tier 2,4,0,1,1,0,0.25
Jerad Inthavong,78,Grim City Reapers,Buffalo 2,Tier 2,4,0,1,1,0,0.25
